test_f1score,best_model,hyper_parameters,test_accuracy,seed,ensemble_size,time_budget,dataset
0.862792969,knn,19,0.862792969,1,FALSE,480,~/smartml/machine2/kin8nm_train.csv
0.855957031,knn,13,0.855957031,2,FALSE,480,~/smartml/machine2/kin8nm_train.csv
0.857421875,knn,15,0.857421875,3,FALSE,480,~/smartml/machine2/kin8nm_train.csv
0.996,svm,linear#NA#-4.32359608221386#-10.1092485316821#NA,0.996,1,FALSE,480,~/smartml/machine3/mfeat-pixel_train.csv
0.996,svm,linear#NA#-4.34491384809913#-11.5903686453097#NA,0.996,2,FALSE,480,~/smartml/machine3/mfeat-pixel_train.csv
0.994,svm,linear#NA#-4.97784066327988#-6.47418297645822#NA,0.994,3,FALSE,480,~/smartml/machine3/mfeat-pixel_train.csv
0.656952294,randomForest,129#5#1,0.657380869,1,FALSE,480,~/smartml/machine3/php3CTpvq_train.csv
0.661398762,randomForest,84#2#1,0.661586264,2,FALSE,480,~/smartml/machine3/php3CTpvq_train.csv
0.662818418,randomForest,88#5#2,0.664184502,3,FALSE,480,~/smartml/machine3/php3CTpvq_train.csv
0.6,randomForest,194#16#27,0.6,1,FALSE,480,~/smartml/machine3/phpfLuQE4_train.csv
0.683076923,deepboost&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,5#0.0197093868910124#0.0866916797158578#e#1&194#22#5&143#16#28&194#22#5&194#22#29&194#22#29&52#20#5&194#22#5&194#16#27&194#22#29,0.681538462,2,FALSE,480,~/smartml/machine3/phpfLuQE4_train.csv
0.626153846,randomForest,194#28#5,0.616923077,3,FALSE,480,~/smartml/machine3/phpfLuQE4_train.csv
0.999542969,knn,3,0.999542969,1,FALSE,480,~/smartml/machine3/phphQEck0_train.csv
0.999542969,knn,3,0.999542969,2,FALSE,480,~/smartml/machine3/phphQEck0_train.csv
0.999542969,knn,3,0.999542969,3,FALSE,480,~/smartml/machine3/phphQEck0_train.csv
0.711864407,svm,radial#-4#0.248791643194622#-10#NA,0.711864407,1,FALSE,480,~/smartml/machine4/AP_Breast_Lung_train.csv
0.288135593,randomForest,159#22#5,0.262711864,2,FALSE,480,~/smartml/machine4/AP_Breast_Lung_train.csv
0.711864407,svm,radial#-4#2.41464743982252#-7.4641339710469#NA,0.711864407,3,FALSE,480,~/smartml/machine4/AP_Breast_Lung_train.csv
0.991661875,c50,20#TRUE#0.309573828235944#TRUE#TRUE#2,0.991661875,1,FALSE,480,~/smartml/machine4/phpN4gaxw_train.csv
0.984761357,c50,16#TRUE#0.309573828235944#TRUE#FALSE#1,0.984761357,2,FALSE,480,~/smartml/machine4/phpN4gaxw_train.csv
0.988211616,c50,20#TRUE#0.25#TRUE#TRUE#1,0.988211616,3,FALSE,480,~/smartml/machine4/phpN4gaxw_train.csv
0.999793103,c50,20#TRUE#0.25#FALSE#FALSE#7,0.999793103,1,FALSE,480,~/smartml/machine4/shuttle_train.csv
0.999517241,c50,6#TRUE#0.25#FALSE#TRUE#1,0.999517241,2,FALSE,480,~/smartml/machine4/shuttle_train.csv
0.999586207,c50,6#TRUE#0.115068836581545#FALSE#FALSE#9,0.999586207,3,FALSE,480,~/smartml/machine4/shuttle_train.csv
0.847457627,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5,0.847457627,1,TRUE,480,~/all/AP_Breast_Lung_train.csv
0.847457627,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5,0.847457627,2,TRUE,480,~/all/AP_Breast_Lung_train.csv
0.847457627,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5&159#22#5,0.847457627,3,TRUE,480,~/all/AP_Breast_Lung_train.csv
0.9576,randomForest&randomForest&randomForest&deepboost&randomForest&randomForest&randomForest&randomForest&deepboost&deepboost,130#26#5&136#26#5&159#22#5&5#0#0.058949756555077#l#27&159#28#5&159#27#3&130#26#5&159#27#3&5#0.122191410772807#0.0449872404872036#l#10&5#0.134277576382451#0.0449872404872036#l#10,0.9584,1,TRUE,480,~/all/churn_train.csv
0.9576,randomForest&randomForest&randomForest&deepboost&randomForest&randomForest&randomForest&randomForest&deepboost&deepboost,130#26#5&136#26#5&159#22#5&5#0#0.058949756555077#l#27&159#28#5&159#27#3&130#26#5&159#27#3&5#0.122191410772807#0.0449872404872036#l#10&5#0.134277576382451#0.0449872404872036#l#10,0.9584,2,TRUE,480,~/all/churn_train.csv
0.9576,randomForest&randomForest&randomForest&deepboost&randomForest&randomForest&randomForest&randomForest&deepboost&deepboost,130#26#5&136#26#5&159#22#5&5#0#0.058949756555077#l#27&159#28#5&159#27#3&130#26#5&159#27#3&5#0.122191410772807#0.0449872404872036#l#10&5#0.134277576382451#0.0449872404872036#l#10,0.9584,3,TRUE,480,~/all/churn_train.csv
1,randomForest&randomForest&randomForest&randomForest&randomForest,118#22#2&118#22#5&118#29#2&39#22#2&39#22#2,1,1,TRUE,480,~/all/dataset_24_mushroom_train.csv
1,randomForest&randomForest&randomForest&randomForest&randomForest,118#22#2&118#22#5&118#29#2&39#22#2&39#22#2,1,2,TRUE,480,~/all/dataset_24_mushroom_train.csv
1,randomForest&randomForest&randomForest&randomForest&randomForest,118#22#2&118#22#5&118#29#2&39#22#2&39#22#2,1,3,TRUE,480,~/all/dataset_24_mushroom_train.csv
0.8624,randomForest&svm&svm&svm&randomForest&rda&rda&randomForest&randomForest&randomForest,159#7#5&linear#NA#-5.72616780567419#-10.5694013076669#NA&linear#NA#-5.81071060697533#-10.5694013076669#NA&linear#NA#-5.72390361159266#-10.297503129446#NA&159#7#5&0.0517757879925271#0.88498280027026&0.289272905175453#0.688945053272938&159#3#16&159#5#16&159#7#5,0.8664,1,TRUE,480,~/all/dataset_60_waveform-5000_train.csv
0.8624,randomForest&svm&svm&svm&randomForest&rda&rda&randomForest&randomForest&randomForest,159#7#5&linear#NA#-5.72616780567419#-10.5694013076669#NA&linear#NA#-5.81071060697533#-10.5694013076669#NA&linear#NA#-5.72390361159266#-10.297503129446#NA&159#7#5&0.0517757879925271#0.88498280027026&0.289272905175453#0.688945053272938&159#3#16&159#5#16&159#7#5,0.8664,2,TRUE,480,~/all/dataset_60_waveform-5000_train.csv
0.8624,randomForest&svm&svm&svm&randomForest&rda&rda&randomForest&randomForest&randomForest,159#7#5&linear#NA#-5.72616780567419#-10.5694013076669#NA&linear#NA#-5.81071060697533#-10.5694013076669#NA&linear#NA#-5.72390361159266#-10.297503129446#NA&159#7#5&0.0517757879925271#0.88498280027026&0.289272905175453#0.688945053272938&159#3#16&159#5#16&159#7#5,0.8664,3,TRUE,480,~/all/dataset_60_waveform-5000_train.csv
0.973684211,rda&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet,0.148956329510642#0.207351324435738&3&3&3&3&3&3&3&3&3,0.973684211,1,TRUE,480,~/all/dataset_61_iris_train.csv
0.973684211,rda&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet,0.148956329510642#0.207351324435738&3&3&3&3&3&3&3&3&3,0.973684211,2,TRUE,480,~/all/dataset_61_iris_train.csv
0.973684211,rda&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet&neuralnet,0.148956329510642#0.207351324435738&3&3&3&3&3&3&3&3&3,0.973684211,3,TRUE,480,~/all/dataset_61_iris_train.csv
0.916754944,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,196#30#5&196#12#5&196#30#5&196#30#5&162#30#5&196#30#5&196#30#5&196#30#5&196#12#5&196#30#5,0.916666667,1,TRUE,480,~/all/electricity-normalized_train.csv
0.916754944,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,196#30#5&196#12#5&196#30#5&196#30#5&162#30#5&196#30#5&196#30#5&196#30#5&196#12#5&196#30#5,0.916666667,2,TRUE,480,~/all/electricity-normalized_train.csv
0.916754944,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,196#30#5&196#12#5&196#30#5&196#30#5&162#30#5&196#30#5&196#30#5&196#30#5&196#12#5&196#30#5,0.916666667,3,TRUE,480,~/all/electricity-normalized_train.csv
0.996,svm&svm&svm&svm&svm&svm&svm&svm&svm&svm,linear#NA#-4.66141401341143#-11.8337892308217#NA&linear#NA#-4.5324410814907#-11.8337892308217#NA&linear#NA#-4.34396283732335#-11.8337892308217#NA&linear#NA#-4.38226972699353#-9.29761320446228#NA&linear#NA#-4.39038760914968#-11.8337892308217#NA&linear#NA#-4.61914218036996#-11.8337892308217#NA&linear#NA#-4.61234988959696#-11.8337892308217#NA&linear#NA#-4.69078878734288#-9.29761320446228#NA&linear#NA#-4.63700404008693#-11.8337892308217#NA&linear#NA#-4.45843569147529#-11.8337892308217#NA,0.996,1,TRUE,480,~/all/mfeat-pixel_train.csv
0.996,svm&svm&svm&svm&svm&svm&svm&svm&svm&svm,linear#NA#-4.66141401341143#-11.8337892308217#NA&linear#NA#-4.5324410814907#-11.8337892308217#NA&linear#NA#-4.34396283732335#-11.8337892308217#NA&linear#NA#-4.38226972699353#-9.29761320446228#NA&linear#NA#-4.39038760914968#-11.8337892308217#NA&linear#NA#-4.61914218036996#-11.8337892308217#NA&linear#NA#-4.61234988959696#-11.8337892308217#NA&linear#NA#-4.69078878734288#-9.29761320446228#NA&linear#NA#-4.63700404008693#-11.8337892308217#NA&linear#NA#-4.45843569147529#-11.8337892308217#NA,0.996,2,TRUE,480,~/all/mfeat-pixel_train.csv
0.996,svm&svm&svm&svm&svm&svm&svm&svm&svm&svm,linear#NA#-4.66141401341143#-11.8337892308217#NA&linear#NA#-4.5324410814907#-11.8337892308217#NA&linear#NA#-4.34396283732335#-11.8337892308217#NA&linear#NA#-4.38226972699353#-9.29761320446228#NA&linear#NA#-4.39038760914968#-11.8337892308217#NA&linear#NA#-4.61914218036996#-11.8337892308217#NA&linear#NA#-4.61234988959696#-11.8337892308217#NA&linear#NA#-4.69078878734288#-9.29761320446228#NA&linear#NA#-4.63700404008693#-11.8337892308217#NA&linear#NA#-4.45843569147529#-11.8337892308217#NA,0.996,3,TRUE,480,~/all/mfeat-pixel_train.csv
0.659898749,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&svm&randomForest,193#5#2&143#5#2&88#5#2&88#5#5&193#5#2&143#5#2&193#5#2&193#5#2&radial#-2.00343163403733#3.46501537774975#-10#NA&193#5#2,0.659952321,1,TRUE,480,~/all/php3CTpvq_train.csv
0.659898749,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&svm&randomForest,193#5#2&143#5#2&88#5#2&88#5#5&193#5#2&143#5#2&193#5#2&193#5#2&radial#-2.00343163403733#3.46501537774975#-10#NA&193#5#2,0.659952321,2,TRUE,480,~/all/php3CTpvq_train.csv
0.659898749,randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&svm&randomForest,193#5#2&143#5#2&88#5#2&88#5#5&193#5#2&143#5#2&193#5#2&193#5#2&radial#-2.00343163403733#3.46501537774975#-10#NA&193#5#2,0.659952321,3,TRUE,480,~/all/php3CTpvq_train.csv
0.496582031,knn&knn&knn&knn&knn&knn&knn&knn&knn&knn,15&15&15&15&15&15&15&15&15&15,0.496582031,1,TRUE,480,~/smartml/machine3/kin8nm_train.csv
0.496582031,knn&knn&knn&knn&knn&knn&knn&knn&knn&knn,15&15&15&15&15&15&15&15&15&15,0.496582031,2,TRUE,480,~/smartml/machine3/kin8nm_train.csv
0.496582031,knn&knn&knn&knn&knn&knn&knn&knn&knn&knn,15&15&15&15&15&15&15&15&15&15,0.496582031,3,TRUE,480,~/smartml/machine3/kin8nm_train.csv
0.669230769,randomForest&deepboost&randomForest&randomForest&deepboost&deepboost&deepboost&deepboost&deepboost&deepboost,59#5#18&5#0.0197093868910124#0.0866916797158578#e#1&94#16#6&59#16#5&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.004002511864028#l#1&5#0.0197093868910124#0.017121463944169#l#1,0.669230769,1,TRUE,480,~/smartml/machine3/phpfLuQE4_train.csv
0.669230769,randomForest&deepboost&randomForest&randomForest&deepboost&deepboost&deepboost&deepboost&deepboost&deepboost,59#5#18&5#0.0197093868910124#0.0866916797158578#e#1&94#16#6&59#16#5&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.004002511864028#l#1&5#0.0197093868910124#0.017121463944169#l#1,0.669230769,2,TRUE,480,~/smartml/machine3/phpfLuQE4_train.csv
0.669230769,randomForest&deepboost&randomForest&randomForest&deepboost&deepboost&deepboost&deepboost&deepboost&deepboost,59#5#18&5#0.0197093868910124#0.0866916797158578#e#1&94#16#6&59#16#5&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.305799656529813#e#1&5#0.0197093868910124#0.004002511864028#l#1&5#0.0197093868910124#0.017121463944169#l#1,0.669230769,3,TRUE,480,~/smartml/machine3/phpfLuQE4_train.csv
0.999542969,knn&knn&knn&knn&knn,3&13&5&7&11,0.999542969,1,TRUE,480,~/smartml/machine3/phphQEck0_train.csv
0.999542969,knn&knn&knn&knn&knn,3&13&5&7&11,0.999542969,2,TRUE,480,~/smartml/machine3/phphQEck0_train.csv
0.999542969,knn&knn&knn&knn&knn,3&13&5&7&11,0.999542969,3,TRUE,480,~/smartml/machine3/phphQEck0_train.csv
0.991661875,c50&c50&c50&randomForest&c50,20#TRUE#0.25#TRUE#TRUE#1&17#TRUE#0.25#TRUE#TRUE#1&26#TRUE#0.25#TRUE#TRUE#1&130#26#5&16#TRUE#0.25#TRUE#FALSE#1,0.991661875,1,TRUE,480,~/smartml/machine4/phpN4gaxw_train.csv
0.991661875,c50&c50&c50&randomForest&c50,20#TRUE#0.25#TRUE#TRUE#1&17#TRUE#0.25#TRUE#TRUE#1&26#TRUE#0.25#TRUE#TRUE#1&130#26#5&16#TRUE#0.25#TRUE#FALSE#1,0.991661875,2,TRUE,480,~/smartml/machine4/phpN4gaxw_train.csv
0.991661875,c50&c50&c50&randomForest&c50,20#TRUE#0.25#TRUE#TRUE#1&17#TRUE#0.25#TRUE#TRUE#1&26#TRUE#0.25#TRUE#TRUE#1&130#26#5&16#TRUE#0.25#TRUE#FALSE#1,0.991661875,3,TRUE,480,~/smartml/machine4/phpN4gaxw_train.csv
1,c50&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,18#TRUE#0.25#FALSE#FALSE#10&20#3#5&89#3#5&23#3#5&139#3#5&139#3#5&139#3#5&139#3#5&139#3#5&139#3#5,1,1,TRUE,480,~/smartml/machine4/shuttle_train.csv
1,c50&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,18#TRUE#0.25#FALSE#FALSE#10&89#3#5&89#3#5&89#3#5&139#3#5&139#3#5&139#3#5&139#3#5&139#3#5&139#3#5,1,2,TRUE,480,~/smartml/machine4/shuttle_train.csv
1,c50&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest&randomForest,18#TRUE#0.25#FALSE#FALSE#10&89#3#5&89#3#5&89#3#5&139#3#5&139#3#5&139#3#5&139#3#5&139#3#5&139#3#5,1,3,TRUE,480,~/smartml/machine4/shuttle_train.csv
